runNumber,MBD_NandS_geq_1,Jet_6_GeV_plus_MBD_NS_geq_1,Jet_8_GeV_plus_MBD_NS_geq_1,Jet_10_GeV_plus_MBD_NS_geq_1,Jet_12_GeV_plus_MBD_NS_geq_1,Photon_2_GeV_plus_MBD_NS_geq_1,Photon_3_GeV_plus_MBD_NS_geq_1,Photon_4_GeV_plus_MBD_NS_geq_1,Photon_5_GeV_plus_MBD_NS_geq_1
52035,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52036,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52037,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52044,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52046,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52047,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52048,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52049,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52052,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52060,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52062,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52067,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52068,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52069,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52097,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52099,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52101,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52102,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52103,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52107,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52108,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52110,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52111,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52112,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52145,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52146,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52265,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52266,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52269,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52270,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52271,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52278,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52286,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52288,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52289,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52290,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52291,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52292,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52294,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52296,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52302,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52303,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52304,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52308,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52309,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52314,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52318,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52323,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52324,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52325,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52326,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52327,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52343,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52346,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52347,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52348,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52349,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52357,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52359,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52360,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52361,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52367,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52369,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52393,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52394,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52414,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52424,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52432,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52444,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52447,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52449,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52462,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52463,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52472,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52482,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52495,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52518,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52519,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52520,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52521,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52522,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52538,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52539,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52540,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52558,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52575,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52576,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52579,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52580,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52584,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52585,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52592,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52593,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52594,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52595,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52596,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52611,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52614,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52615,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52617,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52623,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52624,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52625,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52626,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52638,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52649,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52651,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52653,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52660,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52661,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52682,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52690,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52692,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52704,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52718,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52721,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52755,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52811,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52815,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52846,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52887,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
52888,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53046,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53049,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53284,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53287,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53293,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53312,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53370,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53376,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53407,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53452,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53468,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53742,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53744,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53753,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53754,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53761,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53768,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53769,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53772,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53780,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53782,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53793,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53794,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53828,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53830,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53833,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53834,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53836,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53852,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53856,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53860,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53861,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
53862,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
