runNumber,MBD_NandS_geq_1,Jet_6_GeV_plus_MBD_NS_geq_1,Jet_8_GeV_plus_MBD_NS_geq_1,Jet_10_GeV_plus_MBD_NS_geq_1,Jet_12_GeV_plus_MBD_NS_geq_1,Photon_2_GeV_plus_MBD_NS_geq_1,Photon_3_GeV_plus_MBD_NS_geq_1,Photon_4_GeV_plus_MBD_NS_geq_1,Photon_5_GeV_plus_MBD_NS_geq_1
47658,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47659,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47661,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47662,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47664,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47666,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47667,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47698,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
47714,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47715,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47716,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47719,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47720,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47722,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47723,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47724,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47725,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47726,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47727,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47730,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47732,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47733,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47783,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47791,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47810,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47824,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47831,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47834,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47836,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47852,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47856,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47869,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47873,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47889,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47890,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47892,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47893,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47940,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47944,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47946,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47972,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47975,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47976,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47977,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47978,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47979,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47982,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
47999,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48001,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48002,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48008,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48011,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48073,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48079,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48082,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48084,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48085,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48086,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48089,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48097,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48099,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48166,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
48181,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48185,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48230,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48233,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48236,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48237,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48239,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
